field_filter,hobby_coding,hobby_gaming,hobby_reading,hobby_writing,hobby_music,hobby_drawing_art,hobby_sports,hobby_cooking,hobby_photography,hobby_travel,hobby_science_experiments,hobby_volunteering,hobby_debating,hobby_robotics,hobby_fashion,hobby_business_trading,grade_math,grade_science,grade_lang,grade_social,grade_cs,score_analytical,score_numeric,score_verbal,score_creative,score_social,top_course_1,top_course_2,top_course_3,top_course_4,top_course_5
STEM,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,90,79,71,70,54,75,100,73,58,73,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Education,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,61,52,89,63,58,74,42,65,50,77,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
all,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79,82,54,41,62,70,95,58,60,53,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
Health,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,85,87,34,66,58,77,85,53,42,81,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Social Science,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,64,69,95,83,76,69,71,91,74,84,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Social Science,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,58,53,93,81,46,69,60,90,39,74,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Health,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,53,59,73,79,56,79,70,67,56,87,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,80,100,63,59,64,64,81,80,51,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Architecture,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,64,78,58,31,68,75,74,56,83,39,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
STEM,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,64,59,61,63,59,86,62,56,73,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Media,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,30,46,96,95,58,54,33,92,86,78,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,64,64,72,64,75,74,72,75,60,89,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Media,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,58,69,78,51,68,60,71,71,84,60,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Health,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,62,69,67,69,75,77,62,52,54,65,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Engineering,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,94,68,45,54,79,100,79,62,53,37,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
Arts,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,74,66,90,82,81,68,60,81,78,73,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
STEM,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,85,75,100,70,72,79,86,88,61,69,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
all,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,59,71,48,50,49,75,70,47,47,53,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
Business,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,84,56,75,71,79,69,88,61,54,70,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Social Science,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,73,37,100,73,53,76,45,88,15,96,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Architecture,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,68,64,59,46,66,60,68,58,81,58,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
all,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,86,86,64,82,66,88,80,70,78,64,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
STEM,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,98,73,75,47,58,85,92,74,44,54,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
all,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,71,67,100,75,70,79,71,94,64,80,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Science,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,70,55,50,39,45,60,85,39,40,39,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
all,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,63,89,56,59,70,63,85,59,78,42,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,100,83,68,75,86,78,82,80,83,81,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,88,71,73,77,36,57,95,62,33,76,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,60,80,89,90,76,59,52,83,82,61,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Science,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,68,72,63,68,72,73,75,59,54,66,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
STEM,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,100,74,48,60,92,89,81,54,81,77,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Science,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,82,71,78,62,91,83,81,68,67,84,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
Arts,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,45,66,63,68,60,52,58,74,74,90,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,54,100,57,70,81,65,71,72,93,64,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,68,52,88,81,58,62,69,81,61,91,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Social Science,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,55,33,73,74,85,72,44,70,45,71,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Education,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,57,76,75,100,60,63,53,86,78,90,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Law,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,72,60,84,74,50,73,74,90,57,56,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
STEM,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82,77,57,78,67,78,82,67,74,76,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Social Science,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,46,62,84,71,50,66,79,83,62,76,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Health,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,76,76,79,72,61,69,74,69,55,56,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Health,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,63,74,63,70,67,75,76,61,57,84,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Business,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,100,79,73,99,67,82,100,78,59,86,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Media,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,65,63,56,80,80,83,51,60,85,90,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Arts,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,60,93,79,68,89,64,70,72,92,73,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,59,72,57,69,38,61,77,64,63,60,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Education,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,72,49,54,78,59,73,62,77,37,90,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
all,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,53,80,74,56,85,61,59,79,86,60,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Education,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,64,65,100,80,47,58,64,92,72,96,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Business,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43,56,95,87,74,75,64,83,56,78,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,89,75,47,59,76,78,97,55,62,64,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,34,77,78,64,58,60,42,84,78,54,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Health,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,79,69,57,46,54,66,81,54,61,51,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Science,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,98,92,38,42,79,100,90,29,89,57,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
Engineering,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,65,80,52,61,91,76,71,64,93,59,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
Business,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,74,88,72,96,85,86,58,76,53,86,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,74,40,90,79,63,70,53,82,49,72,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Health,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,68,90,100,87,88,78,72,90,85,76,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Arts,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,49,72,56,66,62,53,62,67,79,69,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
STEM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76,92,61,68,69,75,78,57,65,65,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Social Science,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,59,56,100,73,77,64,68,100,70,48,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Health,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,67,70,87,96,67,77,66,100,70,100,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,60,67,92,90,55,68,59,93,47,63,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Business,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,90,91,74,71,74,86,79,74,75,78,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
