field_filter,hobby_coding,hobby_gaming,hobby_reading,hobby_writing,hobby_music,hobby_drawing_art,hobby_sports,hobby_cooking,hobby_photography,hobby_travel,hobby_science_experiments,hobby_volunteering,hobby_debating,hobby_robotics,hobby_fashion,hobby_business_trading,grade_math,grade_science,grade_lang,grade_social,grade_cs,score_analytical,score_numeric,score_verbal,score_creative,score_social,top_career_1,top_career_2,top_career_3,top_career_4,top_career_5
all,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,36,21,54,79,75,66,16,71,73,65,Graphic Designer,Fashion Designer,Interior Designer,Social Media Manager,VFX Artist
all,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,48,59,75,72,61,53,46,81,61,79,Social Worker,School Teacher,Professor,Special Education Teacher,Social Welfare Officer
Education,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,65,73,91,91,63,58,58,77,69,94,School Teacher,Professor,Special Education Teacher,Training Manager,College Lecturer
Defense,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,50,45,52,64,71,50,58,44,67,100,Navy Officer,Army Officer,Air Force Officer,Defense Scientist,Coast Guard Officer
all,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,57,70,55,77,75,72,67,52,61,87,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Fashion,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,58,60,90,78,78,60,49,82,81,73,Cosmetologist,Fashion Designer,Textile Designer,Makeup Artist,Fashion Stylist
Biotech,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,72,50,39,70,93,92,48,40,79,60,Food Technologist,Biotechnologist,Microbiologist,Geneticist,Marine Biologist
Research,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,78,50,72,68,85,97,63,67,58,43,Research Scientist,Data Scientist,Research Analyst,Laboratory Researcher,Scientific Writer
Space Science,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,100,80,42,58,79,87,77,53,69,66,Space Scientist,ISRO Scientist,DRDO Scientist,Astronomer,Aerospace Engineer
Engineering,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,81,86,52,53,68,61,96,46,84,62,Civil Engineer,Mechanical Engineer,Electrical Engineer,Electronics Engineer,Chemical Engineer
Research,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,73,60,83,71,70,83,76,71,77,65,Research Scientist,Data Scientist,Research Analyst,Laboratory Researcher,Scientific Writer
all,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,88,38,95,50,44,70,64,83,89,IT Support Specialist,Technical Consultant,Ethical Hacker,Game Tester,Esports Player
Hospitality,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,44,45,75,69,47,50,43,68,59,62,Wedding Planner,Hotel Manager,Event Manager,Airline Manager,NGO Program Manager
all,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,70,71,81,56,57,81,57,67,65,69,IT Project Manager,Software Developer,Web Developer,Mobile App Developer,Game Developer
all,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,90,92,90,78,87,82,92,89,77,66,IT Project Manager,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer
all,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70,68,54,41,68,72,54,55,57,35,Software Developer,Web Developer,Mobile App Developer,Data Analyst,Data Scientist
Healthcare,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,56,49,72,61,72,72,63,63,62,87,Doctor,Nurse,Pharmacist,Medical Lab Technologist,Medical Researcher
Fashion,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,45,71,52,43,81,54,68,60,74,67,Cosmetologist,Fashion Designer,Textile Designer,Makeup Artist,Fashion Stylist
Aviation,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,73,50,81,57,46,68,76,85,19,65,Aircraft Maintenance Engineer,Pilot,Commercial Pilot,Air Traffic Controller,Flight Dispatcher
Education,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,68,80,74,83,48,71,92,84,44,82,Training Manager,School Teacher,Professor,Special Education Teacher,College Lecturer
all,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,67,36,48,59,48,74,50,54,40,81,Doctor,Nurse,Pharmacist,Medical Lab Technologist,Medical Researcher
Education,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,70,68,72,90,69,66,71,78,100,81,Training Manager,School Teacher,Professor,Special Education Teacher,Curriculum Developer
all,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,56,44,67,58,73,85,36,73,75,53,Investment Banker,Auditor,Management Consultant,Banking Officer,Digital Marketing Specialist
Hospitality,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,41,51,68,67,59,58,51,72,58,78,Wedding Planner,Hotel Manager,Event Manager,Airline Manager,NGO Program Manager
all,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72,91,38,43,72,39,74,49,94,56,UI/UX Designer,IT Support Specialist,Technical Consultant,Ethical Hacker,Game Tester
all,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,56,62,98,65,89,93,61,85,71,54,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Law & Government,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,63,49,96,82,41,70,55,89,31,90,Social Welfare Officer,Lawyer / Advocate,Judge,Legal Advisor,Public Prosecutor
Hospitality,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,27,51,100,87,42,39,67,92,45,90,Hotel Manager,Event Manager,Airline Manager,Wedding Planner,NGO Program Manager
Business & Finance,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,69,70,88,53,76,73,76,68,71,74,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Biotech,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,78,56,66,78,60,93,62,85,60,75,Tourism Manager,Real Estate Manager,Biomedical Engineer,Agricultural Scientist,Environmental Scientist
Sports / Fitness,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,46,72,65,94,59,36,56,61,78,86,Sports Coach,Fitness Trainer,Yoga Instructor,Sports Physiotherapist,Sports Psychologist
Business & Finance,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,70,82,88,80,48,60,92,74,72,76,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
all,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,72,64,83,88,71,77,74,84,40,71,Public Relations Manager,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA)
all,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,47,72,72,38,94,65,50,60,100,60,Graphic Designer,Animator,Film Director,Video Editor,Journalist
Fashion,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,32,70,62,86,69,37,37,74,99,73,Fashion Designer,Textile Designer,Makeup Artist,Cosmetologist,Fashion Stylist
Design,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,55,75,87,91,62,54,57,87,85,79,Architect,Urban Planner,Interior Designer,Industrial Designer,Graphic Designer
Forensics,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,87,81,65,60,62,73,76,53,70,70,Criminologist,Forensic Scientist,Crime Scene Investigator,Forensic Psychologist,Digital Forensics Analyst
all,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,68,55,60,65,77,85,72,55,57,80,Software Developer,Web Developer,Mobile App Developer,Game Developer,Software Tester / QA Engineer
Research,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,84,85,93,88,68,84,94,85,63,67,Research Scientist,Data Scientist,Research Analyst,Laboratory Researcher,Scientific Writer
Media & Creative,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,72,91,80,57,75,54,63,70,97,69,Public Relations Manager,Graphic Designer,Animator,Film Director,Video Editor
Business & Finance,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,64,46,77,77,62,62,66,75,68,64,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Marine,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,65,49,64,57,40,56,56,68,33,47,Ship Captain,Marine Engineer,Marine Biologist,Naval Architect,Oceanographer
all,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,74,88,56,72,78,74,72,62,61,74,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
all,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,51,48,90,62,46,61,70,80,33,53,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Science,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,100,73,20,32,62,80,96,40,44,58,Physicist,Chemist,Mathematician,Statistician,Geologist
all,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,58,69,86,62,56,63,80,85,75,35,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
all,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,78,76,65,67,51,73,89,80,58,43,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
IT & Computer,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,60,91,32,47,87,74,72,38,85,50,Software Developer,Web Developer,Mobile App Developer,Network Engineer,Cloud Engineer
Defense,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76,66,50,56,61,77,58,58,51,49,Navy Officer,Army Officer,Air Force Officer,Defense Scientist,Coast Guard Officer
Marine,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,66,100,92,87,55,72,76,93,82,87,Marine Engineer,Ship Captain,Marine Biologist,Naval Architect,Oceanographer
all,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,74,65,33,29,81,91,81,40,85,49,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
Research,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,68,55,100,82,72,81,65,89,65,78,Research Scientist,Data Scientist,Research Analyst,Laboratory Researcher,Scientific Writer
all,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,65,68,76,80,63,52,58,79,91,82,Social Worker,School Teacher,Professor,Special Education Teacher,Social Welfare Officer
Sports / Fitness,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,59,80,55,57,65,51,65,52,69,70,Sports Coach,Fitness Trainer,Yoga Instructor,Sports Physiotherapist,Sports Psychologist
Space Science,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,89,87,61,43,67,77,98,78,58,54,Space Scientist,ISRO Scientist,DRDO Scientist,Astronomer,Aerospace Engineer
Healthcare,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,48,48,57,73,69,62,70,78,47,87,Doctor,Nurse,Pharmacist,Medical Lab Technologist,Medical Researcher
all,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,36,55,77,72,73,57,30,82,98,55,Graphic Designer,Fashion Designer,Interior Designer,Social Media Manager,VFX Artist
Biotech,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,83,78,47,59,69,95,71,51,64,61,Biomedical Engineer,Agricultural Scientist,Food Technologist,Biotechnologist,Microbiologist
all,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,42,63,52,72,43,31,67,57,75,73,Graphic Designer,Animator,Film Director,Video Editor,Journalist
Marine,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,77,99,87,99,75,78,91,80,92,80,Marine Engineer,Ship Captain,Marine Biologist,Naval Architect,Oceanographer
Defense,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,78,75,60,72,50,58,93,62,46,89,Defense Scientist,Navy Officer,Army Officer,Air Force Officer,Coast Guard Officer
all,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,89,69,61,65,62,82,96,70,47,71,IT Project Manager,Data Analyst,Data Scientist,Cybersecurity Analyst,Network Engineer
Healthcare,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,52,67,75,61,55,74,52,68,62,75,Doctor,Nurse,Pharmacist,Medical Lab Technologist,Medical Researcher
Fashion,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,62,75,86,71,79,59,62,71,93,81,Fashion Designer,Textile Designer,Makeup Artist,Cosmetologist,Fashion Stylist
all,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,73,50,54,81,73,83,57,68,61,77,Doctor,Nurse,Pharmacist,Medical Lab Technologist,Medical Researcher
Research,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,88,80,71,69,93,100,75,67,67,50,Research Scientist,Data Scientist,Research Analyst,Laboratory Researcher,Scientific Writer
Fashion,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,66,61,74,61,84,70,49,69,83,71,Cosmetologist,Fashion Designer,Textile Designer,Makeup Artist,Fashion Stylist
Defense,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,70,50,70,88,70,62,74,66,51,59,Navy Officer,Army Officer,Air Force Officer,Defense Scientist,Coast Guard Officer
Space Science,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85,78,48,44,77,87,74,56,68,49,Space Scientist,ISRO Scientist,DRDO Scientist,Astronomer,Aerospace Engineer
Aviation,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,65,24,69,59,47,75,72,79,24,58,Aircraft Maintenance Engineer,Pilot,Commercial Pilot,Air Traffic Controller,Flight Dispatcher
all,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,72,40,44,55,70,63,73,44,44,34,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
Media & Creative,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,77,58,96,85,65,76,52,100,73,89,Public Relations Manager,Animator,Film Director,Video Editor,Journalist
all,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,54,78,71,76,57,50,54,69,91,83,Graphic Designer,Animator,Film Director,Video Editor,Journalist
Science,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,100,64,65,52,82,81,91,62,68,46,Physicist,Chemist,Mathematician,Statistician,Geologist
Marine,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,70,71,58,93,37,71,58,69,40,88,Ship Captain,Marine Engineer,Marine Biologist,Naval Architect,Oceanographer
Space Science,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,66,65,46,47,89,74,75,53,86,58,Astronomer,Space Scientist,ISRO Scientist,DRDO Scientist,Aerospace Engineer
all,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,50,69,54,79,78,56,76,54,90,65,Animator,Film Director,Video Editor,Journalist,Content Writer
all,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,58,44,73,78,63,60,67,66,51,75,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
all,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,97,82,75,93,85,93,66,67,77,68,Software Developer,Web Developer,Mobile App Developer,Game Developer,Software Tester / QA Engineer
all,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,39,51,62,56,54,44,34,73,87,52,Graphic Designer,Fashion Designer,Interior Designer,Social Media Manager,VFX Artist
Science,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,57,89,93,76,50,57,78,89,95,51,Physicist,Chemist,Mathematician,Statistician,Geologist
all,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,62,80,45,47,82,81,54,56,79,55,Software Developer,Web Developer,Mobile App Developer,Game Developer,Software Tester / QA Engineer
Business & Finance,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,78,53,69,67,88,80,71,71,51,76,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Space Science,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,90,68,72,88,95,94,74,70,72,Space Scientist,ISRO Scientist,DRDO Scientist,Astronomer,Aerospace Engineer
all,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,81,95,76,40,91,84,79,75,90,41,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,57,55,55,49,66,70,75,64,59,26,Civil Engineer,Mechanical Engineer,Electrical Engineer,Electronics Engineer,Chemical Engineer
all,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,69,77,60,60,93,88,78,62,73,66,Software Developer,Web Developer,Mobile App Developer,Network Engineer,Cloud Engineer
all,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,45,61,70,75,62,39,53,81,82,77,Graphic Designer,Fashion Designer,Interior Designer,Social Media Manager,VFX Artist
Sports / Fitness,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,71,74,74,82,47,35,78,68,67,90,Sports Coach,Fitness Trainer,Yoga Instructor,Sports Physiotherapist,Sports Psychologist
Forensics,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,78,59,78,95,70,67,81,82,55,86,Criminologist,Forensic Scientist,Crime Scene Investigator,Forensic Psychologist,Digital Forensics Analyst
all,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,65,67,73,71,42,53,75,66,61,80,IT Project Manager,IT Support Specialist,Technical Consultant,Ethical Hacker,Game Tester
Design,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,49,63,47,76,74,55,34,54,98,65,Interior Designer,Industrial Designer,Graphic Designer,Architect,Urban Planner
all,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,73,41,83,77,56,50,55,80,43,54,Animator,Film Director,Video Editor,Journalist,Content Writer
Business & Finance,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,50,67,50,51,59,44,80,52,64,64,Investment Banker,Auditor,Management Consultant,Banking Officer,Digital Marketing Specialist
all,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,85,87,91,76,57,57,86,80,65,64,Public Relations Manager,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA)
Education,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,50,69,71,89,64,82,52,79,59,79,School Teacher,Professor,Special Education Teacher,Training Manager,College Lecturer
all,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,62,80,91,69,83,72,72,87,85,88,Public Relations Manager,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA)
all,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,74,41,67,76,51,61,59,79,51,84,Public Relations Manager,Doctor,Nurse,Pharmacist,Medical Lab Technologist
Education,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,47,37,84,100,64,64,46,85,61,91,School Teacher,Professor,Special Education Teacher,Training Manager,College Lecturer
Fashion,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,44,87,98,73,50,46,67,87,82,63,Cosmetologist,Fashion Designer,Textile Designer,Makeup Artist,Fashion Stylist
Marine,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,83,73,80,79,65,64,87,76,58,72,Marine Engineer,Ship Captain,Marine Biologist,Naval Architect,Oceanographer
Healthcare,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,50,53,74,53,86,65,69,78,72,76,Doctor,Nurse,Pharmacist,Medical Lab Technologist,Medical Researcher
Science,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,78,74,47,69,64,71,95,43,50,60,Physicist,Chemist,Mathematician,Statistician,Geologist
Fashion,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,41,76,60,67,71,40,69,71,84,71,Fashion Designer,Textile Designer,Makeup Artist,Cosmetologist,Fashion Stylist
Defense,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,76,66,68,56,81,82,64,54,68,Defense Scientist,Navy Officer,Army Officer,Air Force Officer,Coast Guard Officer
all,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,70,82,72,79,70,44,68,85,96,76,IT Project Manager,UI/UX Designer,Social Worker,School Teacher,Professor
all,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,50,90,50,60,67,61,69,55,55,76,Accountant,Chartered Accountant (CA),Investment Banker,Marketing Manager,Human Resource Manager
all,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,80,54,47,45,46,61,68,61,34,60,IT Project Manager,Public Relations Manager,IT Support Specialist,Technical Consultant,Ethical Hacker
Research,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,85,56,77,66,69,82,83,89,71,51,Research Scientist,Data Scientist,Research Analyst,Laboratory Researcher,Scientific Writer
Space Science,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,99,82,75,57,88,80,83,77,71,51,Space Scientist,ISRO Scientist,DRDO Scientist,Astronomer,Aerospace Engineer
all,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,70,57,57,76,52,49,58,59,57,63,Animator,Film Director,Video Editor,Journalist,Content Writer
all,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,27,92,75,82,83,63,54,74,83,84,Public Relations Manager,Animator,Film Director,Video Editor,Journalist
Design,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,77,79,64,61,82,67,50,61,81,63,Architect,Urban Planner,Interior Designer,Industrial Designer,Graphic Designer
Defense,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,69,87,73,73,80,57,77,69,74,76,Navy Officer,Army Officer,Air Force Officer,Defense Scientist,Coast Guard Officer
Media & Creative,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,75,88,55,67,50,76,90,89,46,Public Relations Manager,Graphic Designer,Animator,Film Director,Video Editor
Design,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,57,66,67,71,83,84,48,75,87,64,Architect,Urban Planner,Interior Designer,Industrial Designer,Graphic Designer
all,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,83,71,71,72,62,94,73,63,42,92,Public Relations Manager,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA)
IT & Computer,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,59,56,59,47,87,88,66,51,56,40,Software Developer,Web Developer,Mobile App Developer,Network Engineer,Cloud Engineer
all,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,55,67,47,46,67,70,72,59,62,69,Public Relations Manager,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA)
all,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,86,96,67,70,74,77,90,71,84,62,IT Project Manager,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer
Space Science,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,100,100,66,53,88,91,96,62,87,28,Space Scientist,ISRO Scientist,DRDO Scientist,Astronomer,Aerospace Engineer
all,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,54,64,88,84,60,42,45,76,79,70,Graphic Designer,Fashion Designer,Interior Designer,Social Media Manager,VFX Artist
all,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,71,64,68,73,88,69,44,69,100,66,Graphic Designer,Fashion Designer,Interior Designer,Social Media Manager,VFX Artist
Fashion,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,59,66,87,71,81,77,30,78,84,60,Fashion Designer,Textile Designer,Makeup Artist,Cosmetologist,Fashion Stylist
IT & Computer,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,75,76,77,62,68,75,86,76,51,47,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
Sports / Fitness,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,55,77,90,68,69,70,64,91,68,76,Sports Coach,Fitness Trainer,Yoga Instructor,Sports Physiotherapist,Sports Psychologist
Sports / Fitness,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,60,56,87,76,50,65,51,76,49,86,Sports Coach,Fitness Trainer,Yoga Instructor,Sports Physiotherapist,Sports Psychologist
all,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,83,86,92,70,64,75,95,76,69,70,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA),Marketing Manager
Media & Creative,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,32,50,72,44,48,39,39,58,84,51,Graphic Designer,Fashion Designer,Interior Designer,Social Media Manager,VFX Artist
all,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,68,50,92,87,71,74,71,88,59,85,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Business & Finance,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,78,70,100,100,63,82,74,100,62,71,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Research,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,82,77,56,48,92,86,70,54,91,62,Research Scientist,Data Scientist,Research Analyst,Laboratory Researcher,Scientific Writer
